{'loss': 1.0092, 'grad_norm': 1.2524584531784058, 'learning_rate': 3.0506596306068602e-05, 'epoch': 0.85}
{'loss': 0.9481, 'grad_norm': 0.6463406682014465, 'learning_rate': 3.040105540897098e-05, 'epoch': 0.86}
{'loss': 0.9494, 'grad_norm': 0.5832446813583374, 'learning_rate': 3.0295514511873353e-05, 'epoch': 0.86}
{'loss': 0.991, 'grad_norm': 0.688378632068634, 'learning_rate': 3.018997361477573e-05, 'epoch': 0.87}
{'loss': 0.9643, 'grad_norm': 2.095391035079956, 'learning_rate': 3.00844327176781e-05, 'epoch': 0.87}
{'loss': 0.9956, 'grad_norm': 5.110072135925293, 'learning_rate': 2.9978891820580475e-05, 'epoch': 0.87}
{'loss': 0.9548, 'grad_norm': 1.4312036037445068, 'learning_rate': 2.9873350923482852e-05, 'epoch': 0.88}
{'loss': 0.9551, 'grad_norm': 0.9228540062904358, 'learning_rate': 2.9767810026385223e-05, 'epoch': 0.88}
{'loss': 1.0046, 'grad_norm': 1.218835473060608, 'learning_rate': 2.96622691292876e-05, 'epoch': 0.88}
{'loss': 0.9437, 'grad_norm': 0.5822148323059082, 'learning_rate': 2.9556728232189974e-05, 'epoch': 0.89}
{'loss': 0.9831, 'grad_norm': 0.4722484052181244, 'learning_rate': 2.945118733509235e-05, 'epoch': 0.89}
{'loss': 0.9631, 'grad_norm': 1.4056966304779053, 'learning_rate': 2.934564643799472e-05, 'epoch': 0.9}
{'loss': 0.9648, 'grad_norm': 0.9294213056564331, 'learning_rate': 2.9240105540897102e-05, 'epoch': 0.9}
{'loss': 0.9859, 'grad_norm': 1.6672937870025635, 'learning_rate': 2.9134564643799472e-05, 'epoch': 0.9}
{'loss': 0.9543, 'grad_norm': 1.013809323310852, 'learning_rate': 2.902902374670185e-05, 'epoch': 0.91}
